Porcentaje;Ejecución (s); clingo (ms)
"10%";7.12;25.40
"15%";7.2;24.84
"20%";7.16;24.12
"25%";7.12;25.44
"30%";7.12;24.56
"35%";7.16;23.44
"40%";7.16;24.48
"45%";8.52;25.36
"50%";8.6;27.00
"55%";8.64;30.72
"60%";8.28;28.20
"65%";7.68;27.32
"70%";7.48;27.52
"75%";8.32;27.72
"80%";8.16;26.32
